year,context,cluster
1,kaçırılma vakasına karıştığı iddia edilen 3 polisle ilgili de bunun özel bir konu içerdiği ifade edilerek iade edildi 690 tbmm b,10
1,üç saat sonra kuş uçsa haberimiz olacak diyor 18 katil özel jetle türkiye ye geliyor cinayeti işliyor özel jetle geri gidiyor,93
1,diyor 18 katil özel jetle türkiye ye geliyor cinayeti işliyor özel jetle geri gidiyor konsolos elini kolunu sallaya sallaya türkiye yi,93
1,limana ulaşacaktır diyorum teşekkür ediyorum hdp sıralarından alkışlar başkan sayın özel,77
1,özgür özel manisa teşekkür ederim sayın başkan 1 kasım tarihi türkiye cumhuriyeti,76
1,209 tbmm b 13 1 11 2018 o 1 özgür özel manisa ve çok yüksek katılımlı bir halk oylamasıyla ve çok,106
1,ifade etmektedirler mikrofon otomatik cihaz tarafından kapatıldı başkan buyurun özgür özel manisa bu vesileyle cumhuriyetimizin devrimci kadrolarına başta mustafa kemal atatürk,155
1,dari yargılama usulü kanunu nda öngörülen idari başvuru yolları ile özel kanunlarda yer alan zorunlu idari başvuru yollarının tüketilmesi gerekmektedir i,75
1,başkan şimdi cumhuriyet halk partisi grubu adına manisa milletvekili özgür özel buyurun sayın özel chp sıralarından alkışlar chp grubu adina özgür,197
1,halk partisi grubu adına manisa milletvekili özgür özel buyurun sayın özel chp sıralarından alkışlar chp grubu adina özgür özel manisa sayın,197
1,buyurun sayın özel chp sıralarından alkışlar chp grubu adina özgür özel manisa sayın başkan değerli milletvekilleri hepinizi saygıyla selamlıyorum kamu denetçiliği,90
1,bir kişiyi tarif etmiş kurum da başvuru sonucunda bu kişiye özel ilandır demiş ve bu konuda bir düzelme sağlamış bu da,113
1,isimler bu taraftaydı mikrofon otomatik cihaz tarafından kapatıldı başkan sayın özel ilave süre özgür özel devamla ne oldu da hangi dinamik,57
1,otomatik cihaz tarafından kapatıldı başkan sayın özel ilave süre özgür özel devamla ne oldu da hangi dinamik osman kavala nın iddianamesini,57
1,ettiği avukatları kanalıyla mikrofon otomatik cihaz tarafından kapatıldı başkan sayın özel bir dakika bitirelim özgür özel devamla paylaştığı mektubuyla tamamlamak isterim,35
1,cihaz tarafından kapatıldı başkan sayın özel bir dakika bitirelim özgür özel devamla paylaştığı mektubuyla tamamlamak isterim silivri de ikametimin birinci yılı,109
1,227 tbmm b 13 1 11 2018 o 1 özgür özel devamla son toparlıyorum başkanım başkan buyurun özgür özel devamla anayasa,54
1,1 özgür özel devamla son toparlıyorum başkanım başkan buyurun özgür özel devamla anayasa değişikliği sırasından başlayarak desteklediğimiz özellikle denetim yetkileri kısıtlanmış,36
1,l ok balıkesir hayır şeref malkoç un şahsında değil özgür özel manisa hayır hayır sözümü çarpıtmayın ne dediğimi biliyorum başkan arkadaşlar,112
1,zengi n tokat i smail bey biz devam edelim özgür özel manisa i lişki olması gerektiği gibi öyle kararlarda odur budur,98
1,mı içinizde ben bilmiyorum yargıtay cumhuriyet başsavcısının adını bilmiyorum özgür özel manisa bileniniz vardır vardır i smai l bi len devamla,2
1,smai l bi len devamla siz biliyorsunuz o zaman özgür özel manisa sizin bileniniz çok i smai l bi len devamla,25
1,saygıyla selamlıyorum ak parti sıralarından alkışlar başkan teşekkür ederim özgür özel manisa sayın başkanım özlem zengi n tokat sayın başkan özgür,32
1,manisa sayın başkanım özlem zengi n tokat sayın başkan özgür özel manisa hayır ak parti cevap verecekse zevkle buyurun başkan buyurun,199
1,da güzel bir şey evlenmiş insanlar teşekkür ediyorum başkan sayın özel buyurun,53
