speech_giver,term1,term2,term3,term4,term5,term6,term7,term8,term9,term10,term11,term12,term13,term14,term15,term16,term17,term18,term19,term20,term21,term22,term23,term24,term25,term26,term27
Yaşar Akal,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,
Yaşar Albayrak,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,,,,
Yaşar Ağyüz,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,
Yaşar Bir,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,
Yaşar Canbay,,,,,,,,,,,,,,,,,,,,Refah Partisi,Refah Partisi,,,,,,
Yaşar Ceyhan,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,
Yaşar Erbaz,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,,,,,
Yaşar Eryılmaz,,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,Anavatan Partisi,Anavatan Partisi,,Anavatan Partisi,,,,
Yaşar Karadağ,,,,,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi
Yaşar Karayel,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,
Yaşar Kemal Yüksekli,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,
Yaşar Kırkpınar,,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi
Yaşar Nuri Öztürk,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,
Yaşar Okuyan,,,,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,
Yaşar Topçu,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,Doğru Yol Partisi,Doğru Yol Partisi,Doğru Yol Partisi,,,,,,
Yaşar Tüzün,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi
Yaşar Yakış,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,,
Yaşar Yıldırım,,,,,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi
Yaşar Yılmaz,,,,,,,,,,,,,,,,,,Sosyaldemokrat Halkçı Parti,,,,,,,,,
Yekta Açıkgöz,,,,,,,,,,,,,,,,,,,,,Demokratik Sol Parti,,,,,,
Yekta Haydaroğlu,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,,
Yelda Erol Gökcan,,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi
Yener Yıldırım,,,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,
Yeredoğ Kişioğlu,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Yunus Emre,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi
Yunus Koçak,,,,,,,,,,,,,Türkiye İşçi Partisi,,,,,,,,,,,,,,
Yunus Kılıç,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,Adalet ve Kalkınma Partisi
Yunus Muammer Alakant,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,
Yunus Nadi Abalıoğlu,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,
Yunus Nüzhet Unat,,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Yurdusev Özsökmenler,,,,,,,,,,,,,,,,,,,,,,,,,Halkların Demokratik Partisi,,
Yusuf Aktimur,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,,,
