speech_giver,term1,term2,term3,term4,term5,term6,term7,term8,term9,term10,term11,term12,term13,term14,term15,term16,term17,term18,term19,term20,term21,term22,term23,term24,term25,term26,term27
Ali Necdet Süngütay,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,
Ali Necmettin Taşkapılı,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Ali Necmettin Şeyhoğlu,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Ali Nejat Ölçen,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,
Ali Neki Üner,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,
Ali Nihat Karol,,,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,
Ali Nüsret Kuruoğlu,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Ali Oksal,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,
Ali Orhan Deniz,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,
Ali Osman Başkurt,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,,
Ali Osman Sali,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,,
Ali Osman Sönmez,,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,
Ali Osman Özbilen,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Ali Oğuz,,,,,,,,,,,,,,,,,,,Refah Partisi,Refah Partisi,Refah Partisi,,,,,,
Ali Pulat,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,
Ali Pınarbaşı,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Ali Rahmi Beyreli,,,,,,,,,,,,,,,,,,,,Demokratik Sol Parti,Demokratik Sol Parti,,,,,,
Ali Rana Tarhan,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Ali Raşit Gürgen,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Ali Recai İskenderoğlu,,,,,,,,,,,,Yeni Türkiye Partisi,Yeni Türkiye Partisi,,Yeni Türkiye Partisi,,,,,,,,,,,,
Ali Reşat Göksidan,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Ali Reşit Atabinen,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,
Ali Riza İşer,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Ali Rıdvan Yıldırım,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,,
Ali Rıfkı Atasever,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,,,,
Ali Rıza Acara,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Rıza Akaydın,,,,,,,,,,,,,,,,,Halkçı Parti,,,,,,,,,,
Ali Rıza Akbıyıkoğlu,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,
Ali Rıza Alaboyun,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,
Ali Rıza Artunkal,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Ali Rıza Arı,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Ali Rıza Arıbaş,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,
Ali Rıza Ataışık,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Rıza Bebek,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,
Ali Rıza Bodur,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,Cumhuriyet Halk Partisi,,,,,
Ali Rıza Ercan,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Ali Rıza Erem,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Ali Rıza Ertemür,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,
Ali Rıza Erten,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,
Ali Rıza Güllüoğlu,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,
Ali Rıza Gülçiçek,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,
Ali Rıza Karaca,,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Ali Rıza Kılıçkale,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Ali Rıza Kırsever,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,,
Ali Rıza Levent,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Ali Rıza Rıza,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,
Ali Rıza Salıcı,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Ali Rıza Sağlar,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Ali Rıza Sirmen,,,,,,,,,,,,,,,,,,Sosyaldemokrat Halkçı Parti,,,,,,,,,
Ali Rıza Topçu,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Rıza Türel,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Ali Rıza Uzuner,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,
Ali Rıza Yılmaz,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Ali Rıza Zırh,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Ali Rıza Çetiner,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,,
Ali Rıza Özdarende,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Rıza Özenç,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,
Ali Rıza Öztürk,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,
Ali Rıza İncealemdaroğlu,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,
Ali Sadettin Çavlum Barlas,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,
Ali Saim Kaymak,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Ali Saip Ursavaş,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,
Ali Sait Akbaytuğan,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,
Ali Sami Akkaş,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Ali Sanlı,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,
Ali Sarıbaş,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,
Ali Sayın Sarıalioğlu,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Ali Sedat Baran,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Ali Sedat Pek,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Ali Serdengeçti,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,,,
Ali Serindağ,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,
Ali Server Somuncuoğlu,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Ali Seydi Armaner,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,
Ali Seyfi Kurtbek,,,,,,,,,Demokrat Parti,Demokrat Parti,,,Demokrat Parti,,,,,,,,,,,,,,
Ali Seyfi Pencap,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,
Ali Sezal,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,,,
Ali Sinan Tekelioğlu,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,
Ali Su,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,,
Ali Suat Başol,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Ali Suat Hayri Ürgüplü,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Ali Suat Ürgüplü,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Ali Süha Delilbaşı,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Ali Süreyya Dellaloğlu,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Ali Süruri Tönük,Cumhuriyet Halk PartisiKarahisar-I,Cumhuriyet Halk PartisiKarahisar-I,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Sırrı Öktem,,,,,,,,,,,,Yeni Türkiye Partisi,,,,,,,,,,,,,,,
Ali Sırrı Özata,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Talip Özdemir,,,,,,,,,,,,,,,,,,Anavatan Partisi,,Anavatan Partisi,,,,,,,
Ali Tanrıyar,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,,,,
Ali Tekin,,,,,,,,,,,,,,,,,,,,,Demokratik Sol Parti,,,,,,
Ali Temür,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,,
Ali Topuz,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,Cumhuriyet Halk Partisi,,Cumhuriyet Halk Partisi,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,
Ali Topçuoğlu,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,,,,
Ali Tunalı,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,
Ali Turan,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,
Ali Turan Akarca,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Ali Turhan Akarca,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Ali Ulvi Arıkan,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Ali Ulvi Bayrakdar,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,
Ali Uslu,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,
Ali Uyar,,,,,,,,,,,,,,,,,,Sosyaldemokrat Halkçı Parti,Sosyaldemokrat Halkçı Parti,Sosyaldemokrat Halkçı Parti,,,,,,,
Ali Uzun,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,,
Ali Uzunırmak,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,Milliyetçi Hareket Partisi,Milliyetçi Hareket Partisi,Milliyetçi Hareket Partisi,,
Ali Vefa Seyhanlı,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Yalçın Öğütcan,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,,
Ali Yaşar,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Ali Yeniaras,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Ali Yiğit,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,
Ali Yüksel Kavuştu,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,,
Ali Yılmaz,,,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,Adalet Partisi,,,,,,,,,,,
Ali Zülfikâroğlu,,,,,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,
Ali Çakır,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Ali Çavlum,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,
Ali Çetinkaya,Cumhuriyet Halk PartisiKarahisar-I,Cumhuriyet Halk PartisiKarahisar-I,Cumhuriyet Halk PartisiKarahisar-I,Cumhuriyet Halk PartisiKarahisar-I,Cumhuriyet Halk PartisiKarahisar-I,Cumhuriyet Halk PartisiKarahisar-I,Cumhuriyet Halk PartisiKarahisar-I,,,,,,,,,,,,,,,,,,,,
Ali Çiftci,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Ali Çobanoğlu,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Ali Çoruh,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Ali Çuhadar,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Ali Öz,,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,Milliyetçi Hareket Partisi,,
Ali Özcan,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,
Ali Özdemir,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,,,
Ali Özdikmenli,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,
Ali Özgündüz,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,
Ali Özkaya,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi
Ali Öztunç,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi
Ali Öztürk,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,
Ali Öğüten,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,,
Ali İbiş,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,,
Ali İbrahim Tutu,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,
Ali İhsan Arslan,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi
Ali İhsan Balım,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,Adalet Partisi,Adalet Partisi,,,,,,,,,,,,
Ali İhsan Elgin,,,,,,,,,,,,,,,,,Halkçı Parti,,,,,,,,,,
Ali İhsan Göğüş,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,
Ali İhsan Gülez,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Ali İhsan Köktürk,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,
Ali İhsan Merdanoğlu,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,,
Ali İhsan Ulubahşi,,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,Adalet Partisi,Adalet Partisi,,,,,,,,,,,
Ali İhsan Yavuz,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi
Ali İhsan Çelikkan,,,,,,,,,,,,,Yeni Türkiye Partisi,,,,,,,,,,,,,,
Ali İmamoğlu,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Ali İnci,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,
Ali İrfan Haznedar,,,,,,,,,,,Demokrat Parti,,,,,Demokrat Parti,,,,,,,,,,,
Ali İrfan Solmazer,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,
Ali Şadi Çelik,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Şahin,,,,,,,,,,,Demokrat Parti,,,,,,,Sosyaldemokrat Halkçı Parti,,Sosyaldemokrat Halkçı Parti,,,,Adalet ve Kalkınma Partisi,,,Adalet ve Kalkınma Partisi
Ali Şakir Ağanoğlu,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,
Ali Şakir Ergin,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Ali Şefik Bakay,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Ali Şefik Başman,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,
Ali Şefik Bey,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Şefik San,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Ali Şefik Türkdoğan,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Ali Şefik Özdemir,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Ali Şeker,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi
Ali Şelhum Devrim,,,,,,,Cumhuriyet Halk Partisi,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Ali Şevket Çolak,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,
Ali Şevket Önder,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,
Ali Şevki Berker,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,
Ali Şevki Erek,,,,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,,,Adalet Partisi,Adalet Partisi,Adalet Partisi,,,,,,
Ali Şükrü Doruker,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Şükrü Şavlı,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,
Alican Önlü,,,,,,,,,,,,,,,,,,,,,,,,,Halkların Demokratik Partisi,Halkların Demokratik Partisi,Halkların Demokratik Partisi
Alim Işık,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,Milliyetçi Hareket Partisi,Milliyetçi Hareket Partisi,,
Alim Tunç,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,Adalet ve Kalkınma Partisi,
Alirıza Gönül,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,Doğru Yol Partisi,Doğru Yol Partisi,,,,,,
Alirıza Septioğlu,,,,,,,,,,,,,,Bağımsız,,Bağımsız,,Bağımsız,Bağımsız,,Bağımsız,,,,,,
Alişan Canpolat,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,
Alp Doğan Öztunç,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,
Alp Doğan Şen,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,,,
Alparslan Ahmet Dursun,,,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,
Alparslan Türkeş,,,,,,,,,,,,,Cumhuriyetçi Köylü Millet Partisi,Cumhuriyetçi Köylü Millet Partisi,Cumhuriyetçi Köylü Millet Partisi,Cumhuriyetçi Köylü Millet Partisi,,,Cumhuriyetçi Köylü Millet Partisi,,,,,,,,
Alpaslan Kavaklıoğlu,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,
Alpaslan Pehlivanlı,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,,,,
Alpay Antmen,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi
Altan Kavak,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,,,,
Altan Tan,,,,,,,,,,,,,,,,,,,,,,,,Bağımsız,Bağımsız,Bağımsız,
Altan Tuna,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,
Altınok Esen,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,,
Alâattin Tiritoğlu,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,
Alâeddin Kısakürek,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,,
Alâettin Kurt,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,,,
Alâettin Tiridoğlu,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Alâettin Şahin,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,
Andre Vahram Bayar,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Anğı,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,,
Apturrahman Rahmi Katoğlu,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,
Aptürrahman Sami Erkman,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,
Arif Ahmet Denizolgun,,,,,,,,,,,,,,,,,,,,Refah Partisi,,,,,,,
Arif Altınalmaz,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Arif Ağaoğlu,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,,,,
Arif Baysal,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Arif Bey,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,
Arif Bulut,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,
Arif Doğan Köymen,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Arif Ertunga,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,
Arif Hikmet Güner,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,,,,,,,,,,,,,,
Arif Hikmet Onat,,,,,,,,Cumhuriyet Halk Partisi,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,
Arif Hikmet Pamukoğlu,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Arif Hikmet Özdemir,Cumhuriyet Halk Partisi,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Arif Hüdai Oral,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,Cumhuriyet Halk Partisi,,,,,,,,,
Arif Kalıpsızoğlu,,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Arif Kemal Önder,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,
Arif Kâzım Taşkent,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Arif Marlalı,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Arif Sağ,,,,,,,,,,,,,,,,,,Sosyaldemokrat Halkçı Parti,,,,,,,,,
Arif Sezer,,,,,,,,,,,,,,,,,,,,Demokratik Sol Parti,Demokratik Sol Parti,,,,,,
Arif Toprak,,,,,,,,,,,,,,,,,Halkçı Parti,,,,,,,,,,
Arif Tosyalıoğlu,,,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,Adalet Partisi,,,,,,,,,,,
Arif Şevket Bilgin,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,,
Arife Neclâ Tekinel,,,,,,,,,,,Demokrat Parti,,,,,,Demokrat Parti,,,,,,,,,,
Arife Polat Düzgün,,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi
Armağan Yılmaz,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,,,
Arsan Savaş Arpacıoğlu,,,,,,,,,,,,,,,,,Halkçı Parti,,,,,,,,,,
Arslan Adnan Türkoğlu,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,,
Arslan Aydar,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,,,
Arslan Bora,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Arslan Kabukcuoğlu,,,,,,,,,,,,,,,,,,,,,,,,,,,İyi Parti
Arslan Topçubaşı,,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,,Adalet Partisi,,,,,,,,,,,
Arslanbey Toğuz,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Arzu Aydın,,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi
