speech_giver,political_party,terms
Cemal Enginyurt’un yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 737 24.- Sakarya Milletvekili Muhammed Levent Bülbül,,[]
Cemal Okan Yüksel,Cumhuriyet Halk Partisi,"[25, 26]"
Cemal Seymen,Sosyaldemokrat Halkçı Parti,[18]
Cemal Taşar,Adalet ve Kalkınma Partisi,"[23, 27]"
Cemal Tercan,,"[15, 16, 19]"
Cemal Öztürk,Adalet ve Kalkınma Partisi,"[26, 27]"
Cemal Şah,,"[18, 19]"
Cemaleddin Uslu,Milliyetçi Hareket Partisi,[23]
Cemalettin Kani Torun,Gelecek Partisi(2019-günümüz),"[25, 26, 28]"
Cemalettin Lafçı,,[]
Cemalettin Şimşek,Milliyetçi Hareket Partisi,[24]
Cemil Yaman,,"[26, 27, 28]"
Cengiz Demirkaya,Adalet ve Kalkınma Partisi,[27]
Cengiz Gökçel,Cumhuriyet Halk Partisi,[27]
Cesim Gökçe,Adalet ve Kalkınma PartisiGelecek Partisi,[26]
Cevat Ayhan,,"[19, 20, 21]"
Cevdet Erdöl,,"[22, 23, 24]"
Cevdet Yılmaz,Adalet ve Kalkınma Partisi,"[23, 24, 25, 26, 27]"
Ceyda Bölünmez Çankırı,Adalet ve Kalkınma Partisi(2015-günümüz),"[26, 27, 28]"
Ceyda Çetin Erenler,,[27]
Ceyhun İrgil,Cumhuriyet Halk Partisi,"[25, 26]"
Ceyhun İrgil’in 405 sıra sayılı Kanun Tasarısı’nın 56’ncı maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 318:319 29.- Bursa Milletvekili Ceyhun İrgil,,[]
Cihan Pektaş,Adalet ve Kalkınma Partisi,"[26, 27]"
Coşkun Bayram,,[]
Coşkun Gökalp,,[]
Coşkun Çakır,,"[25, 26]"
Cuma İçten,Adalet ve Kalkınma PartisiGelecek Partisi,[24]
Cumhur Kesk,,[]
Cumhur Ünal,Adalet ve Kalkınma Partisi,"[23, 27]"
Cüneyt Canver,Anavatan PartisiSosyal Demokrat Halkçı Parti,"[17, 18]"
Cüneyt Yüksel,Adalet ve Kalkınma Partisi,"[23, 28]"
D. Ali Torlak,MHP(2005-2019)İYİ Parti(2020-),"[23, 24]"
Demir Çelik,Barış ve Demokrasi PartisiHalkların Demokratik Partisi,[24]
Deniz Baykal,Cumhuriyet Halk Partisi(1968-1980; 1992-2023),"[15, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27]"
Deniz Demir,,[]
Deniz Depboylu’n,Milliyetçi Hareket Partisi,[26]
Deniz Yavuzyılmaz,Cumhuriyet Halk Partisi,"[27, 28]"
Deniz Yavuzyılmaz’ın 104 sıra sayılı Kanun Teklifi’nin 11’inci maddesiyle ilgili önerge üzerinde yaptığı konuşmasında Komisyonu itham altında bıraktığına ilişkin açıklaması 858 50.- Zonguldak Milletvekili Deniz Yavuzyılmaz,,[]
Dersim Dağ,Halkların Demokratik PartisiHalkların Eşitlik ve Demokrasi Partisi,[27]
Derya Bakbak,Adalet ve Kalkınma Partisi,"[24, 27, 28]"
Didem Engin,Cumhuriyet Halk Partisi,"[25, 26]"
Didem Engin’in müftülüklere evlendirme yetkisi veren kanun tasarısına ilişkin açıklaması 393 4.- Mersin Milletvekili Aytuğ Atıcı,,[]
Dilan Kunt Ayan,Halkların Eşitlik ve Demokrasi Partisi,[28]
Dilek Akagün Yılmaz,Cumhuriyet Halk Partisi,[24]
Dirayet Dilan Taşdemir,Halkların Demokratik Partisi,"[25, 26, 27]"
Dirayet Taşdemir,Halkların Demokratik Partisi,"[25, 26, 27]"
Doğan Baran,,"[18, 19, 20, 21]"
Doğan Kasaroğlu,,[17]
Doğan Kubat’ın babasına Cenab-ı Allah’tan rahmet dilediğine ilişkin açıklaması 583:584 534 TBMM B: 80 21 . 5 . 2019 Sayfa 30.- Manisa Milletvekili Özgür Özel,,[]
Doğan Şafak,,[24]
Durdu Özbolat,,"[23, 24]"
Durmuş Yılmaz,Milliyetçi Hareket Partisi(2015-2017)İYİ Parti(2017-2023),"[25, 27]"
Dursun Ataş,AK Parti(2024-günümüz),"[27, 28]"
Dursun Müsavat Dervişoğlu,İYİ Parti(2017-günümüz),"[27, 28]"
E. Yalım Ercz,,[]
Ebrü Günay’ın HDP grup önerisi üzerinde HDP Grubu adına yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 819 43.- İstanbul Milletvekili Mehmet Muş,,[]
Edibe Sözen,,[23]
Edip Safder Gaydalı,,"[19, 20, 21, 22]"
Edip Özgenç,,"[17, 21]"
Ednan Arslan,Cumhuriyet Halk Partisi,"[27, 28]"
Ejder Açıkkapı,Adalet ve Kalkınma Partisi,"[26, 28]"
Ekin Dikmen,,[]
Ekmeleddin Mehmet İhsanoğlu’n,Bağımsız(2014-2015)Milliyetçi Hareket Partisi(2015-günümüz),"[25, 26]"
Ekrem Kangal,,"[14, 15, 18]"
Ekrem Pakdemirlî,Anavatan Partisi(1987-2003),"[18, 19, 20, 21]"
Ekrem Çelebi,Adalet ve Kalkınma Partisi,"[24, 27]"
Elif Doğan Türkmen,Cumhuriyet Halk Partisi,"[25, 26]"
Elif Esen,Demokrasi ve Atılım Partisi(2020-günümüz),[28]
Elvan Işık Gezmiş,Cumhuriyet Halk Partisi,[28]
Emin Alpkaya,,[17]
Emin Haluk Ayhan,Milliyetçi Hareket Partisi,"[23, 24, 25, 26]"
Emine Gülizar Emecan,Cumhuriyet Halk Partisi(CHP),[27]
Emine Nur Günay,Adalet ve Kalkınma Partisi,"[26, 27]"
Emine Sare Aydın,,[27]
Emine Yavuz Gözgeç,Fazilet PartisiAdalet ve Kalkınma Partisi,"[25, 26, 27, 28]"
Emine Zeybek,,[27]
Emine Ülker Tarhan,Cumhuriyet Halk Partisi(2011-2014)Anadolu Partisi(2014-2015),[24]
Emre Köprülü’n,Cumhuriyet Halk Partisi,"[24, 25, 26]"
Emre Köprülü’nün bazı ifadelerine ilişkin açıklaması 4.- Kayseri Milletvekili Mustafa Elitaş,,[]
Emre Çalışkan,Adalet ve Kalkınma Partisi,[28]
Emrullah İşler,Adalet ve Kalkınma Partisi,"[24, 25, 26, 27]"
Enez Kaplan,,[27]
Engin Altay,Cumhuriyet Halk Partisi,"[22, 23, 24, 25, 26, 27, 28]"
Engin Altay ile Manisa Milletvekili Erkan Akçay’ın yaptıkları açıklamalarındaki bazı ifadelerine ilişkin açıklaması 532:533 7.- Manisa Milletvekili Erkan Akçay,,[]
"Engin Altay, Amasya Milletvekili Mehmet Naci Bostancı’nın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 941:942 58.- Manisa Milletvekili Özgür Özel",,[]
"Engin Altay, Sivas Milletvekili Mehmet Habib Soluk’un CHP grup önerisi üzerinde AK PARTİ Grubu adına yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 568:569 24.- Kars Milletvekili Ayhan Bilgen",,[]
"Engin Altay, TBMM Başkan Vekili Mustafa Şentop’a başarılar dilediğine, Genel Kurul çalışmalarında uygulama birliği sağlamak adına Meclis Başkan Vekillerinin Divan toplantısında bazı konuları değerlendirmelerinde fayda olduğuna ve yaşadığı yangın nedeniyle Yunanistan halkına geçmiş olsun dileğinde bulunduğuna, yaraların sarılması için Türkiye’nin kendine yakışanı yapacağına ilişkin açıklaması 553:554 499 TBMM B: 10 25 . 7 . 2018 Sayfa 21.- Çanakkale Milletvekili Bülent Turan",,[]
"Engin Altay, Çankırı Milletvekili Muhammet Emin Akbaşoğlu’nun yaptığı açıklamasındaki bazı ifadelerine ilişkin tekraren açıklaması 506:507 28.- İstanbul Milletvekili Engin Altay",,[]
Engin Altay’la aralarında geçen karşılıklı bazı ifadelerden dolayı üzgün olduğuna ilişkin açıklaması 47 22.- Amasya Milletvekili Mehmet Naci Bostancı,,[]
Engin Altay’ın (10/392) esas numaralı Meclis Araştırması Önergesi’nin ön görüşmeleri sırasında CHP Grubu adına yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 464:465 415 TBMM B: 30 1 . 12 . 2016 Sayfa 22.- İstanbul Milletvekili Engin Altay,,[]
Engin Altay’ın 238 sıra sayılı Kanun Tasarısı’nın 2’nci maddesi üzerinde CHP Grubu adına yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 110:111 6 TBMM B: 99 8 . 6 . 2016 Sayfa 28.- Manisa Milletvekili Erkan Akçay,,[]
Engin Altay’ın 405 sıra sayılı Kanun Tasarısı’nın 68’inci maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 398:401 37.- İstanbul Milletvekili Engin Altay,,[]
Engin Altay’ın sataşma nedeniyle yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 152 12.- İstanbul Milletvekili Engin Altay,,[]
Engin Altay’ın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 530 43.- Siirt Milletvekili Meral Danış Beştaş,CHP,[]
Engin Güner,Anavatan Partisi,[19]
Engin Özkoç,Sosyaldemokrat Halkçı Parti(1989-1995)Cumhuriyet Halk Partisi(1995-günümüz),"[24, 25, 26, 27]"
Engin Özkoç ile İstanbul Milletvekili Filiz Kerestecioğlu Demir’in yaptıkları açıklamalarındaki bazı ifadelerine ilişkin açıklaması 63:65 33.- Sakarya Milletvekili Engin Özkoç,,[]
Engin Özkoç’un 129 sıra sayılı 2020 Yılı Bütçe Kanun Teklifi ile 130 sıra sayılı 2018 Yılı Kesin Hesap Kanunu Teklifi’nin tümü üzerinde şahsı adına yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 346:347 21.- Sakarya Milletvekili Engin Özkoç,,[]
Engin Özkoç’un yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 65:67 35.- Ankara Milletvekili Levent Gök,,[]
Enis Tütüncü,Sosyal Demokrasi PartisiSosyaldemokrat Halkçı PartiCumhuriyet Halk Partisi,"[18, 22, 23]"
Ensar Aytekin,Cumhuriyet Halk Partisi,"[27, 28]"
Ensar Öğüt,,"[22, 23, 24]"
Enver Erdem,Milliyetçi Hareket Partisi,[24]
Enver Özcan,,[]
Ercan Vuralhan,Anavatan Partisi,[18]
Ercan Öztürk,Adalet ve Kalkınma Partisi,[28]
Erdal Aksünger,Cumhuriyet Halk Partisi,[24]
Erdal Aydemir,Halkların Demokratik Partisi,[27]
Erdal Kalkan,,"[18, 23, 24]"
Erdem,,[]
Erdin Bircan,Cumhuriyet Halk Partisi,"[25, 26, 27]"
Erdoğan Toprak,Demokratik Sol Parti(1995-2002)Bağımsız(2002-2010)Cumhuriyet Halk Partisi(2010-günümüz),"[20, 21, 24, 25, 26, 27, 28]"
Eren Erdem,Cumhuriyet Halk Partisi(2015-2024),"[25, 26]"
Eren Erdem’in 341 sıra sayılı Kanun Tasarısı’nın 3’üncü maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 219 29.- Adana Milletvekili Zülfikar İnönü Tümer,,[]
Ergün Aydoğan,,[23]
Ergün Aydoğan’ın diyabet çubuklarıyla ilgili konuşmasına ilişkin açıklaması 126 9.- İzmir Milletvekili Oktay Vural,,[]
Ergün Taşcı,Adalet ve Kalkınma Partisi,"[26, 27]"
Erhan Usta,Milliyetçi Hareket Partisi(2015-2019)Bağımsız(2019-2020)İYİ Parti(2020-günümüz),"[25, 26, 27, 28]"
Erhan Usta’nın 485 ve 485’e 1’inci Ek sıra sayılı Kanun Tasarısı’nın 32’nci maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 999 32.- Samsun Milletvekili Kemal Zeybek,,[]
Erhan Usta’nın 491 sıra sayılı Kanun Tasarısı’nın 21’inci maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 469 42.- Samsun Milletvekili Erhan Usta,,[]
Erhan Usta’nın sataşma nedeniyle yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 105:106 30.- Manisa Milletvekili Özgür Özel,,[]
Erhan Usta’nın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 742 33.- Başbakan Yardımcısı Nurettin Canikli,,[]
Erkan Akçay,Milliyetçi Hareket Partisi(2007-günümüz),"[23, 24, 25, 26, 27, 28]"
Erkan Akçay ve İstanbul Milletvekili Yavuz Ağıralioğlu’nun yaptığı açıklamalarındaki bazı ifadelerine ilişkin açıklaması 962 49.- Kars Milletvekili Ayhan Bilgen,,[]
"Erkan Akçay, Ankara Milletvekili Levent Gök ile Diyarbakır Milletvekili Çağlar Demirel’in yaptıkları açıklamalarındaki bazı ifadelerine ilişkin açıklaması 312:314 47.- Manisa Milletvekili Erkan Akçay",,[]
"Erkan Akçay, MHP Grubu olarak Ankara’daki terör saldırısında hayatını kaybedenlere Allah’tan rahmet, yaralılara acil şifalar dilediklerine, Türkiye Cumhuriyeti’nin terörü yok edebilecek güçte olduğuna ve Türkiye Büyük Millet Meclisinin ortak ve kararlı bir duruşu sergileyebileceğine ilişkin açıklaması 880:881 46.- Diyarbakır Milletvekili İdris Baluken",,[]
Erkan Akçay’ın BDP grup önerisi üzerinde yaptığı konuşma sırasındaki bazı ifadelerine ilişkin açıklaması 240:241 25.- Rize Milletvekili Nusret Bayraktar,,[]
Erkan Akçay’ın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 182:184 10.- Muş Milletvekili Ahmet Yıldırım,,[]
Erkan Aydın,,[]
Erkan Aydın ve Manisa Milletvekili Özgür Özel’in yaptığı açıklamalarındaki bazı ifadelerine ilişkin açıklaması 750:751 40.- İzmir Milletvekili Tamer Osmanağaoğlu’n,,[]
Erkan Baş,Sosyalist İktidar Partisi(1995-2001)Türkiye Komünist Partisi(2001-2014)Halkın Türkiye Komünist Partisi(2014-2017)Türkiye İşçi Partisi(2017-günümüz),"[27, 28]"
Erkan Haberal,Milliyetçi Hareket Partisi,"[26, 27]"
Erkan Yükşel,,[]
Erol Ağagil,,"[17, 18]"
Erol Dora,Barış ve Demokrasi PartisiHalkların Demokratik Partisi,"[24, 25, 26]"
Erol Dora’nın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 301 26.- Anayasa Komisyonu Başkanı Mustafa Şentop,,[]
Erol Güngör,,[]
Erol Katırcıoğlu’n,,[27]
Erol Katırcıoğlu’nun 41 sıra sayılı Kanun Teklifi’nin 32’nci maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 648:649 27.- Adana Milletvekili İsmail Koncuk,,[]
Erol Kavuncu’n,Adalet ve Kalkınma Partisi,[27]
Erol Kaya,Refah Partisi(1994-1998)Fazilet Partisi(1998-2004)Adalet ve Kalkınma Partisi(2004-günümüz),"[24, 25, 26, 27]"
Erol Keleş,,[28]
Ersin Beyaz,İYİ Parti,[28]
Ersin Koçak,Anavatan Partisi,[18]
Ersin Taranoğlu,Anavatan Partisi,"[18, 19, 20, 21]"
Ertekin Durutürk,,"[18, 19]"
Ertekin Çolak,Adalet ve Kalkınma Partisi,[23]
Ertuğrul Gökg,,[]
Ertuğrul Kumcuoğlu,Milliyetçi Hareket Partisi,"[21, 23]"
Ertuğrul Kürkcü’n,Halkların Demokratik Partisi(2013-günümüz),"[24, 25, 26]"
Esat Büt,Milliyetçi Çalışma Partisi(1991-1992)Büyük Birlik Partisi(1993-1995)Anavatan Partisi(1995-1999),"[19, 20, 21]"
Esat Kıratlıoğlu,,"[14, 16, 18, 19, 20]"
Esin Kara,,[27]
Etem Cankurtaran,,[]
Evrim Rızvanoğlu’n,"Cumhuriyet Halk Partisi(2023, 2025-günümüz)",[28]
Eylem Ertuğ Ertuğrul,Cumhuriyet Halk Partisi,[28]
Eyüp Aşık,,[]
Eyüp Özsoy,,[27]
Fahrettin Kurt,,"[17, 18, 19]"
Fahrettin Oğuz Tor,Milliyetçi Hareket Partisi,"[25, 26]"
Fahrettin Poyraz,,"[22, 23, 24]"
Fahrettin Yokuş,İYİ Parti,[27]
Fahri Çakır,Milliyetçi Hareket Partisi(?-2001)Adalet ve Kalkınma Partisi(2001-günümüz),"[22, 27]"
Faik Tarımcıoğlu,Milliyetçi Demokrasi PartisiHür Demokrat PartiAnavatan Partisi,"[17, 18]"
Faik Tunay,Anavatan Partisi(1999-2009)Cumhuriyet Halk Partisi(2011-2016)Demokrat Parti(2022-günümüz),[24]
Faik Öztrak,,[]
Faralyalı,Doğru Yol Partisi(1991-1995),[19]
Faruk Bal,,"[21, 23, 24]"
Faruk Sarıaslan,Cumhuriyet Halk Partisi,[27]
Faruk Çaturoğlu’n,Adalet ve Kalkınma Partisi,"[25, 26]"
Faruk Özlü’n,Adalet ve Kalkınma Partisi,"[25, 26]"
Fatih Şahin,,[]
Fatma Aksal,Adalet ve Kalkınma Partisi,"[27, 28]"
Fatma Benli,Adalet ve Kalkınma Partisi,"[25, 26]"
Fatma Kaplan Hürriyet,Cumhuriyet Halk PartisiİYİ Parti(2018)Cumhuriyet Halk Partisi(2018-günümüz),"[25, 26, 27]"
Fatma Kurtulan,,"[23, 27]"
Fatma Kurtulan ile Manisa Milletvekili Özgür Özel’in yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 701:703 40.- Erzurum Milletvekili Muhammet Naci Cinisli,,[]
"Fatma Kurtulan’ın yaptığı açıklamasındaki bazı ifadelerine ve Milliyetçi Hareket Partisi olarak 82 milyon Türkiye’nin huzurlu olması için fedakârlık göstereceklerine, asla ve asla terör odaklarına müsaade etmeyeceklerine ilişkin açıklaması 144:145 26.- Mersin Milletvekili Fatma Kurtulan",,[]
Fatma Serap Ekmekci,Milliyetçi Hareket Partisi(2009-2014)Bağımsız(2014-2019)Adalet ve Kalkınma Partisi(2019-günümüz),[28]
Fatoş Gürkan,Adalet ve Kalkınma Partisi,"[23, 24]"
Fehmi Alpay Özalan,Adalet ve Kalkınma Partisi(2018-günümüz),"[27, 28]"
Fehmi Işıklar,Sosyaldemokrat Halkçı PartiHalkın Emek Partisi,"[18, 19]"
Fehmi Memişoğlu,Milliyetçi Demokrasi Partisi,[17]
Feleknas Uca,Demokratik Sosyalizm Partisi(1999-2007)Sol Parti(2007-2009)Halkların Demokratik Partisi(2015-günümüz),"[25, 26, 27]"
Fenni İslimyeli,Cumhuriyet Halk PartisiMilliyetçi Demokrasi PartisiHür Demokrat PartiAnavatan Partisi,"[12, 13, 17, 18]"
Feridun Bahşi,Milliyetçi Hareket Partisi(2007-2017)İYİ Parti(2017-günümüz),[27]
Feridun Şakir Öğünç,Halkçı Parti(1983-1985)Sosyaldemokrat Halkçı Parti(1985-?),[17]
Ferit Mevlüt Aslanoğlu,,"[22, 23, 24]"
Fetani Battal,Adalet ve Kalkınma Partisi,"[22, 23, 27]"
Fethi Çelikbaş,Demokrat Parti(1950-1955)Hürriyet Partisi(1955-1957)Cumhuriyet Halk Partisi(1957-1963)Cumhuriyetçi Güven Partisi(1963-1980)Anavatan Partisi(1983-1991),"[9, 10, 11, 12, 13, 17, 18]"
Fevzi Şanverdi,Adalet ve Kalkınma Partisi,[26]
Feyzi Berdibek,Adalet ve Kalkınma Partisi,"[22, 27, 28]"
Fikret Şah,Cumhuriyet Halk Partisi,[27]
Fikri Işık,Adalet ve Kalkınma Partisi,"[23, 24, 25, 26, 27]"
Filiz Kerestecioğlu Demir,Halkların Demokratik Partisi,"[25, 26, 27]"
Filiz Kerestecioğlu’n,Halkların Demokratik Partisi,"[25, 26, 27]"
Fuat Atalay,,[]
Fuat Köktaş,Fazilet PartisiRefah PartisiAdalet ve Kalkınma Partisi,"[25, 26, 27]"
Gaffar Yak,,[]
Gamze Akkuş İlgezdi,Cumhuriyet Halk Partisi,"[25, 26, 27, 28]"
Gamze Taşcıer,Cumhuriyet Halk Partisi(1999-günümüz),"[27, 28]"
Gamze Taşcıer’in görüşülmekte olan 207 sıra sayılı Kanun Teklifi’nin 19’uncu maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 851:852 28.- Siirt Milletvekili Meral Danış Beştaş,,[]
Garo Paylan,Halkların Demokratik Partisi,"[25, 26, 27]"
Garo Paylan’ın 533 sıra sayılı Kanun Tasarısı’nın 16’ncı maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 219:220 29.- Maliye Bakanı Naci Ağbal,,[]
Garo Paylan’ın sataşma nedeniyle yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 1043:1044 29.- Aksaray Milletvekili İlknur İnceöz,,[]
Garo Paylan’ın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 1192 42.- Ordu Milletvekili Cemal Enginyurt,,[]
Garo Paylan’ın yerinden sarf ettiği bazı ifadelerine ilişkin açıklaması 691 33.- İstanbul Milletvekili Sibel Özdemir,,[]
Gaye Usluer,"Cumhuriyet Halk Partisi(2010-2021, 2023-günümüz)Memleket Partisi(2021-2022)","[25, 26]"
George Aslan,Halkların Eşitlik ve Demokrasi Partisi,[28]
Giray,,[]
Gurhan Çelebican,Anavatan Partisi,[19]
Gökan Zeybek,Cumhuriyet Halk Partisi,"[27, 28]"
Gökan Zeybek’in 161 sıra sayılı Kanun Teklifi’nin 1’inci maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 241 39.- Çankırı Milletvekili Muhammet Emin Akbaşoğlu’n,,[]
Gökcen Özdoğan Enç,Adalet ve Kalkınma Partisi,"[24, 25, 26]"
Gökhan Günaydın,Cumhuriyet Halk Partisi(2007-günümüz),"[24, 28]"
Göksel Kalaycıoğlu,Anavatan Partisi,"[17, 18]"
Gönen,,[]
Gülay Samancı,Adalet ve Kalkınma Partisi(AK Parti),"[24, 27]"
Gülay Yedekci,Cumhuriyet Halk Partisi,"[25, 26]"
Gülay Yedekci’nin yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 770 23.- Kars Milletvekili Ayhan Bilgen,,[]
Gülcan Kaçmaz Sayyiğit,Halkların Eşitlik ve Demokrasi Partisi,[28]
Gülcan Kış,Cumhuriyet Halk Partisi,[28]
"Gülcan Kış, Pamukluk Barajı’na ilişkin açıklaması 50:51 14.- Konya Milletvekili Ünal Karaman",,[]
Güler İleri,,[19]
Gülizar Biçer Karaca,Sosyaldemokrat Halkçı Parti(1991-1993)Cumhuriyet Halk Partisi(1993-günümüz),"[25, 27, 28]"
Gültekin Uysal,Doğru Yol Partisi(2003-2007)Demokrat Parti(2007-günümüz),[27]
Gülüstan Kılıç Koçyiğit,Halkların Eşitlik ve Demokrasi Partisi,"[27, 28]"
Güneş Gürseler,Cumhuriyet Halk PartisiSosyaldemokrat Halkçı PartiDemokratik Sol Parti,[18]
Güneş Müftüoğlu,Doğru Yol Partisi,"[18, 19]"
Güneş Taner,Anavatan Partisi,"[18, 19, 20, 21]"
Günseli Özkaya,Halkçı PartiSosyaldemokrat Halkçı Parti,[17]
Gürcan Ers,,[]
Gürkut Acar,,[24]
Gürol Ergin,Cumhuriyet Halk Partisi,"[22, 23]"
Gürol Soylu,Anavatan Partisi,[19]
Gürsel Erol,Sosyaldemokrat Halkçı PartiCumhuriyet Halk Partisi,"[26, 27, 28]"
Gürsel Tekin,Sosyal Demokrasi Partisi(1984-1985)Sosyaldemokrat Halkçı Parti(1989-1995)Cumhuriyet Halk Partisi(1995-2025),"[24, 25, 26, 27]"
Güzel,,[]
H. Barış Can,,[]
H. Cavit Erdemir,8 / 26,[]
H. Tayfun İçli,39 / 88,[]
H. Uluç Gürkan,,[]
H. İbrahim Şah,,[]
Habibe Öçal,,[27]
Habip Eksik,Halkların Demokratik Partisi,[27]
Hacı Ahmet Özdemir,Adalet ve Kalkınma Partisi,"[25, 26, 27]"
Hacı Bayram Türkoğlu’n,Milliyetçi Hareket Partisi(1994-2002)Adalet ve Kalkınma Partisi(2011-günümüz),"[24, 25, 26, 27]"
Hacı Özkan,Adalet ve Kalkınma Partisi,"[26, 27]"
Hakan Coşkun,Milliyetçi Hareket Partisi,[23]
Hakan Çavuşoğlu’n,Adalet ve Kalkınma Partisi,"[24, 25, 26, 27]"
Hakan Şükür,,[24]
Hakkı Artukarslan,,[]
Hakkı Saruhan Oluç,Özgürlük ve Dayanışma Partisi(1996-2010)Eşitlik ve Demokrasi Partisi(2010-2011)Halkların Demokratik Partisi(2012-2023)Halkların Eşitlik ve Demokrasi Partisi(2023-günümüz),"[25, 27, 28]"
Hakkı Suha Okay,Cumhuriyet Halk Partisi,[23]
Halefoğlu,,[]
Halide İncekara,Adalet ve Kalkınma Partisi(2001-günümüz),"[22, 23, 24]"
Halil Eldemir,Adalet ve Kalkınma Partisi,"[25, 26, 28]"
Halil Etyemez,Adalet ve Kalkınma Partisi,"[25, 26, 27]"
Halil Mazıcıoğlu,,"[23, 24]"
Halil Orhan Ergüder,Anavatan Partisi,"[17, 18, 19]"
Halil Uluay,Adalet ve Kalkınma Partisi,[28]
Halil Özşavlı,Adalet ve Kalkınma PartisiAnahtar Parti(2024-günümüz),[27]
Halil Ünlütepe,,"[22, 23]"
Halil İbrahim Karal,Halkçı Parti,[17]
Halil İbrahim Şah,Halkçı PartiSosyaldemokrat Halkçı Parti,[17]
Halis Dalkılıç,,"[25, 26, 27, 28]"
Halit Dumankaya,,"[19, 20]"
Haluk Ahmet Gümüş,Cumhuriyet Halk Partisi,[24]
Haluk Eyidoğan,Cumhuriyet Halk Partisi,[24]
Haluk Eyidoğan’ın bir alışveriş merkezinin tadilatıyla ilgili ifade ettiği hususlara ilişkin açıklaması 397:398 22.- Bingöl Milletvekili İdris Baluken,,[]
Haluk Koç,Cumhuriyet Halk Partisi,"[22, 23, 24, 25, 26, 27]"
Haluk Pekşen,Cumhuriyet Halk Partisi,"[25, 26]"
"Haluk Pekşen’in 97 sıra sayılı Kanun Tasarısı’nın 17’nci maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 638 30.- Bilim, Sanayi ve Teknoloji Bakanı Fikri Işık",,[]
Haluk Pekşen’in görüşülmekte olan 670 sayılı Kanun Hükmünde Kararname’nin tümü üzerinde CHP Grubu adına yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 145:146 39.- Trabzon Milletvekili Haluk Pekşen,,[]
Haluk Pekşen’in sataşma nedeniyle yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 495:497 283 TBMM B: 69 12 . 3 . 2018 Sayfa 41.- Adana Milletvekili Meral Danış Beştaş,,[]
Hamdi Uçar,Adalet ve Kalkınma Partisi,[27]
Hamdi Özsoy,Anavatan Partisi,"[17, 18]"
Hamza Dağ,Adalet ve Kalkınma Partisi,"[24, 25, 26, 27]"
Harun Karacan,Adalet ve Kalkınma Partisi,"[26, 27]"
Harun Özgür Yıldızlı,Cumhuriyet Halk Partisi,[28]
Hasan Baltacı,Cumhuriyet Halk Partisi,"[27, 28]"
Hasan Basri Eler,,[19]
Hasan Dikici,,"[19, 20]"
Hasan Erçclebi,,[]
Hasan Fehmi Kinay,,"[22, 23, 24]"
Hasan Hüseyin Türkoğlu’n,,[24]
Hasan Kalyoncu’n,Milliyetçi Hareket Partisi,[27]
Hasan Kalyoncu’nun ağabeyi İsmail Hakkı Kalyoncu’nun vefatına ilişkin açıklaması 603 10.- Ankara Milletvekili Mustafa Destici,,[]
Hasan Karal,Demokrasi ve Atılım Partisi(2020-günümüz),"[24, 25, 26, 28]"
Hasan Korkmazcan,,"[14, 15, 19, 20]"
Hasan Macit,,"[21, 23]"
Hasan Mezarci,,[]
Hasan Mezarıcı,,[]
Hasan Namal,,"[18, 19]"
