speech_giver,political_party,terms
Barış Yarkadaş,Cumhuriyet Halk Partisi(2015-2025),"[25, 26]"
Barış Yarkadaş’ın HDP grup önerisi üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 675 23.- Diyarbakır Milletvekili İdris Baluken,,[]
Barış Yarkadaş’ın sataşma nedeniyle yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 553:554 35.- Kırıkkale Milletvekili Ramazan Can,,[]
Bayram Fırat Dayanıklı,,[]
Bayram Yılmazkaya,Cumhuriyet Halk Partisi,[27]
Bayram Özçelik,Adalet ve Kalkınma Partisi,"[22, 23, 24, 26, 27]"
Bedia Özgökçe Ertan,Halkların Demokratik Partisi,"[26, 27]"
Bedii Süheyl Batum,Cumhuriyet Halk Partisi,[24]
Bedri Serter,,[27]
Bedri Yaşar,,"[21, 27]"
Behiç Çelik,,"[23, 27]"
Behçet Yıldırım,Halkların Demokratik Partisi,"[25, 26]"
Behçet Yıldırım’ın 117 sıra sayılı Kanun Tasarısı’nın 22’nci maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 431:433 19.- Adıyaman Milletvekili Behçet Yıldırım,,[]
Bekir Başevirgen,Cumhuriyet Halk Partisi,"[27, 28]"
Bekir Bozdağ,Fazilet Partisi(1999-2001)Adalet ve Kalkınma Partisi(2001-günümüz),"[22, 23, 24, 26, 27, 28]"
Bekir Kuvvet Erim,Anavatan PartisiAdalet ve Kalkınma Partisi,[27]
Bengi Yıldız,,"[23, 24]"
Bennur Karaburun,AK Parti,"[25, 26]"
Berati Erdoğan,,[]
Beritan Güneş Altın,Halkların Eşitlik ve Demokrasi Partisi,[28]
Beser Baydar,,[]
Besime Konca,Halkların Demokratik Partisi,[26]
Bey-,,[]
Beytullah Asil,,[23]
Beytullah Mehmet Gazioğlu,,"[18, 19]"
Bihlun Tamaylıgil’in sataşma nedeniyle yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 837:838 18.- Diyarbakır Milletvekili İdris Baluken,,[]
Bilal Bilici,İYİ Parti(2023-2024)Cumhuriyet Halk Partisi(2024-günümüz),[28]
Bilâl Şişman,Halkçı Parti,[17]
Binnaz Toprak,Cumhuriyet Halk Partisi,[24]
Birgen Keleş,,"[18, 20, 22, 23]"
Birgül Ayman Güler,Cumhuriyet Halk Partisi,[24]
Birol Ertem,Cumhuriyet Halk Partisi,"[25, 26]"
Burak Erbay,,[27]
Burcu Köksal,"Cumhuriyet Halk Partisi(2015-2018, 2018-günümüz)İYİ Parti(2018)","[25, 26, 27, 28]"
Burcu Köksal’ın 502 sıra sayılı Kanun Tasarısı’nın 123’üncü maddesiyle ilgili önerge üzerinde yaptığı konuşmasındaki bazı ifadelerine ilişkin açıklaması 1148:1149 37.- Artvin Milletvekili İsrafil Kışla,,[]
Burcu Köksal’ın yaptığı açıklamasındaki bazı ifadelerine ilişkin açıklaması 125:126 31.- Ankara Milletvekili Levent Gök,,[]
Burcu Çelik,Halkların Demokratik Partisi,[26]
Burcu Çelik Özkan,Halkların Demokratik Partisi,[26]
Burcugül Çubuk,Halkların Eşitlik ve Demokrasi Partisi,[28]
Burhan Kara,,"[17, 18, 19, 20, 21]"
Burhan Kayatürk,Adalet ve Kalkınma Partisi,"[23, 24, 25, 26, 28]"
Burhan Kuzu’n,Adalet ve Kalkınma Partisi(2001-2020),"[22, 23, 24, 26]"
Burhan Çakır,Adalet ve Kalkınma Partisi,[27]
Burhanettin Bulut,Cumhuriyet Halk Partisi(1999-günümüz),"[27, 28]"
Burhanettin Kocamaz,Milliyetçi Hareket Partisi(1992-2018)İYİ Parti(2018-günümüz),[28]
