filename,session_date
tbmm01018011.txt,20.03.1338
tbmm01018012.txt,21.03.1338
tbmm01018013.txt,23.03.1338
tbmm01018014.txt,25.03.1338
tbmm01018015.txt,27.03.1338
tbmm01018016.txt,28.03.1338
tbmm01018017.txt,30.03.1338
tbmm01018018.txt,01.04.1338
tbmm01018019.txt,03.04.1338
tbmm01018020.txt,04.04.1338
tbmm01019021.txt,06.04.1338
tbmm01019022.txt,08.04.1338
tbmm01019023.txt,10.04.1338
tbmm01019024.txt,11.04.1338
tbmm01019027.txt,15.04.1338
tbmm01019028.txt,16.04.1338
tbmm01019029.txt,17.04.1338
tbmm01019030.txt,18.04.1338
tbmm01019031.txt,20.04.1338
tbmm01019032.txt,22.04.1338
tbmm01019033.txt,24.04.1338
tbmm01019035.txt,27.04.1338
tbmm01019036.txt,29.04.1338
tbmm01019037.txt,01.05.1338
tbmm01019038.txt,02.05.1338
tbmm01019039.txt,04.05.1338
tbmm01019040.txt,06.05.1338
tbmm01020041.txt,09.05.1338
tbmm01020042.txt,11.05.1338
tbmm01020043.txt,15.05.1338
tbmm01020044.txt,18.05.1338
tbmm01020045.txt,20.05.1338
tbmm01020047.txt,04.06.1338
tbmm01020048.txt,05.06.1338
tbmm01020049.txt,07.06.1338
tbmm01020050.txt,08.06.1338
tbmm01020051.txt,10.61.1338
tbmm01020052.txt,11.06.1338
tbmm01020053.txt,12.06.1338
tbmm01020054.txt,14.06.1338
tbmm01020055.txt,15.06.1338
tbmm01020056.txt,17.06.1338
tbmm01020057.txt,18.06.1338
tbmm01020058.txt,19.06.1338
tbmm01020059.txt,21.06.1338
tbmm01020060.txt,22.06.1338
tbmm01021061.txt,24.06.1338
tbmm01021062.txt,25.06.1338
tbmm01021063.txt,26.06.1338
tbmm01021064.txt,28.06.1338
tbmm01021065.txt,29.06.1338
tbmm01021066.txt,01.07.1338
tbmm01021067.txt,02.07.1338
tbmm01021068.txt,03.07.1338
tbmm01021069.txt,06.07.1338
tbmm01021070.txt,08.07.1338
tbmm01021071.txt,10.07.1338
tbmm01021072.txt,12.07.1338
tbmm01021073.txt,13.07.1338
tbmm01021074.txt,15.07.1338
tbmm01021075.txt,17.07.1338
tbmm01021076.txt,19.07.1338
tbmm01021077.txt,20.07.1338
tbmm01021078.txt,22.07.1338
tbmm01021079.txt,24.07.1338
tbmm01021080.txt,26.07.1338
tbmm01022081.txt,27.07.1338
tbmm01022082.txt,29.07.1338
tbmm01022083.txt,31.07.1338
tbmm01022084.txt,14.08.1338
tbmm01022085.txt,16.08.1338
tbmm01022086.txt,17.08.1338
tbmm01022087.txt,19.08.1338
tbmm01022088.txt,21.08.1338
tbmm01022089.txt,23.08.1338
tbmm01022090.txt,24.08.1338
tbmm01022091.txt,26.08.1338
tbmm01022092.txt,28.08.1338
tbmm01022093.txt,30.08.1338
tbmm01022094.txt,31.08.1338
tbmm01022095.txt,02.09.1338
tbmm01022096.txt,04.09.1338
tbmm01022097.txt,06.09.1338
tbmm01022098.txt,07.09.1338
tbmm01022099.txt,09.09.1338
tbmm01022100.txt,11.09.1388
tbmm01023101.txt,13.09.1338
tbmm01023102.txt,14.09.1338
tbmm01023103.txt,16.09.1338
tbmm01023104.txt,18.09.1338
tbmm01023105.txt,20.09.1338
tbmm01023106.txt,21.09.1338
tbmm01023107.txt,23.09.1338
tbmm01023108.txt,25.09.1338
tbmm01023109.txt,27.09.1338
tbmm01023110.txt,28.09.1338
tbmm01023111.txt,30.09.1338
tbmm01023112.txt,04.10.1338
tbmm01023113.txt,05.10.1338
tbmm01023114.txt,07.10.1338
tbmm01023115.txt,09.10.1338
tbmm01023116.txt,10.10.1338
tbmm01023117.txt,11.10.1338
tbmm01023119.txt,14.10.1338
tbmm01023120.txt,16.10.1338
tbmm01024121.txt,18.10.1338
tbmm01024122.txt,19.10.1338
tbmm01024123.txt,21.10.1338
tbmm01024124.txt,23.10.1338
tbmm01024125.txt,24.10.1338
tbmm01024126.txt,25.10.1338
tbmm01024127.txt,26.10.1338
tbmm01024128.txt,28.10.1338
tbmm01024129.txt,30.10.1338
tbmm01024130.txt,01.11.1338
tbmm01024131.txt,02.11.1338
tbmm01024132.txt,03.11.1338
tbmm01024134.txt,08.01.1838
tbmm01024135.txt,09.11.1338
tbmm01024136.txt,11.11.1338
tbmm01024137.txt,13.11.1338
tbmm01024138.txt,15.11.1338
tbmm01024139.txt,16.11.1338
tbmm01024140.txt,18.11.1338
tbmm01025141.txt,20.11.1338
tbmm01025142.txt,21.11.1338
tbmm01025143.txt,22.11.1338
tbmm01025144.txt,23.11.1338
tbmm01025145.txt,25.11.1338
tbmm01025146.txt,27.11.1338
tbmm01025147.txt,29.11.1338
tbmm01025148.txt,30.11.1338
tbmm01025150.txt,04.12.1338
tbmm01025151.txt,04.12.1838
tbmm01025152.txt,07.12.1338
tbmm01025153.txt,09.12.1338
tbmm01025154.txt,11.12.1338
tbmm01025156.txt,14.12.1338
tbmm01025157.txt,16.12.1338
tbmm01025158.txt,18.12.1338
tbmm01025159.txt,20.12.1338
tbmm01025160.txt,21.12.1338
tbmm01026161.txt,23.12.1338
tbmm01026162.txt,25.12.1338
tbmm01026163.txt,27.12.1338
tbmm01026164.txt,28.12.1338
tbmm01026165.txt,30.12.1338
tbmm01026166.txt,01.01.1339
tbmm01026168.txt,04.01.1339
tbmm01026169.txt,06.01.1339
tbmm01026170.txt,08.01.1339
tbmm01026171.txt,10.01.1339
tbmm01026174.txt,15.01.1339
tbmm01026175.txt,17.01.1339
tbmm01026176.txt,18.01.1339
tbmm01026177.txt,20.01.1339
tbmm01026178.txt,22.01.1339
tbmm01026179.txt,24.01.1339
tbmm01026180.txt,25.01.1339
tbmm01027181.txt,27.01.1339
tbmm01027183.txt,29.01.1339
tbmm01027184.txt,31.01.1339
tbmm01027185.txt,01.02.1339
tbmm01027186.txt,03.02.1339
tbmm01027187.txt,05.02.7339
tbmm01027188.txt,07.02.1339
tbmm01027189.txt,08.02.1339
tbmm01027190.txt,10.02.7339
tbmm01027192.txt,14.02.1339
tbmm01027193.txt,15.02.1339
tbmm01027194.txt,17.02.1339
tbmm01027195.txt,19.02.1339
tbmm01027196.txt,21.02.1339
tbmm01027198.txt,24.02.1339
tbmm01027199.txt,26.02.1339
tbmm01027201.txt,28.02.1339
tbmm01028001.txt,01.03.1339
tbmm01028002.txt,02.03.1339
tbmm01028007.txt,08.03.1339
tbmm01028008.txt,21.03.1339
tbmm01028009.txt,22.03.1339
tbmm01028010.txt,24.03.1339
tbmm01028011.txt,26.03.1339
tbmm01028012.txt,28.03.1339
tbmm01028013.txt,29.03.1339
tbmm01028014.txt,31.03.1339
tbmm01028015.txt,01.04.1339
tbmm01028017.txt,03.04.1339
tbmm01028018.txt,05.04.1339
tbmm01028019.txt,07.04.1339
tbmm01028020.txt,08.04.1339
tbmm01029021.txt,09.04.1339
tbmm01029022.txt,11.04.1339
tbmm01029023.txt,12.04.1339
tbmm01029024.txt,14.04.1339
tbmm01029025.txt,15.04.1330
tbmm01029026.txt,16.04.1339
tbmm02001001.txt,11.08.1339
tbmm02001002.txt,12.08.1339
tbmm02001003.txt,13.08.1339
tbmm02001004.txt,14.08.1339
tbmm02001005.txt,16.08.1339
tbmm02001006.txt,09.08.1339
tbmm02001007.txt,21.08.1339
tbmm02001008.txt,22.08.1339
tbmm02001009.txt,23.08.1339
tbmm02001010.txt,26.08.1339
tbmm02001011.txt,29.08.1339
tbmm02001012.txt,01.09.1339
tbmm02001013.txt,03.09.1339
tbmm02001014.txt,05.09.1339
tbmm02001015.txt,08.09.1339
tbmm02002016.txt,09.09.1339
tbmm02002017.txt,12.09.1339
tbmm02002018.txt,13.09.1339
tbmm02002019.txt,15.09.1339
tbmm02002020.txt,17.09.1339
tbmm02002021.txt,19.09.1339
tbmm02002022.txt,20.09.1339
tbmm02002023.txt,22.09.1339
tbmm02002024.txt,24.09.1339
tbmm02002025.txt,25.09.1339
tbmm02002026.txt,26.09.2339
tbmm02002027.txt,27.09.1339
tbmm02002028.txt,29.09.1339
tbmm02002029.txt,30.09.1339
tbmm02002030.txt,02.10.1339
tbmm02002031.txt,03.10.1339
tbmm02002032.txt,06.10.1339
tbmm02002033.txt,08.10.1339
tbmm02002034.txt,10.10.1339
tbmm02002035.txt,13.10.1339
tbmm02002036.txt,15.10.1339
tbmm02002039.txt,20.10.1339
tbmm02002040.txt,21.10.1339
tbmm02003041.txt,24.10.1339
tbmm02003042.txt,27.10.1339
tbmm02003043.txt,29.10.1339
tbmm02003044.txt,30.10.1339
tbmm02003045.txt,31.10.1339
tbmm02003046.txt,01.11.1339
tbmm02003047.txt,03.11.1330
tbmm02003048.txt,04.11.1339
tbmm02003049.txt,06.11.1339
tbmm02003050.txt,08.11.1339
tbmm02003051.txt,10.11.1339
tbmm02003052.txt,12.11.1339
tbmm02003053.txt,14.11.1339
tbmm02003054.txt,17.11.1339
tbmm02003055.txt,19.11.1333
tbmm02003056.txt,21.11.1339
tbmm02003057.txt,24.11.1339
tbmm02003058.txt,26.11.1339
tbmm02004061.txt,03.12.1339
tbmm02004062.txt,05.12.1339
tbmm02004063.txt,06.12.1339
tbmm02004064.txt,08.12.1339
tbmm02004065.txt,10.12.1339
tbmm02004066.txt,12.12.1339
tbmm02004067.txt,13.12.1839
tbmm02004068.txt,15.12.1339
tbmm02004069.txt,17.12.1339
tbmm02004070.txt,19.12.1339
tbmm02004072.txt,22.12.1339
tbmm02004073.txt,24.12.1339
tbmm02004074.txt,26.12.1339
tbmm02004075.txt,27.12.1330
tbmm02004076.txt,29.12.1339
tbmm02004077.txt,31.12.1339
tbmm02004078.txt,02.01.1340
tbmm02004079.txt,05.01.1340
tbmm02004080.txt,07.01.1340
tbmm02005081.txt,09.01.1340
tbmm02005082.txt,12.01.1340
tbmm02005083.txt,14.01.1340
tbmm02005084.txt,16.01.1340
tbmm02005085.txt,17.01.1340
tbmm02005086.txt,19.01.1340
tbmm02005087.txt,21.01.1340
tbmm02005088.txt,23.01.1340
tbmm02005089.txt,24.01.1340
tbmm02005090.txt,26.01.1340
tbmm02005091.txt,28.01.1340
tbmm02005092.txt,30.01.1340
tbmm02005093.txt,31.01.1340
tbmm02005094.txt,02.02.1340
tbmm02005095.txt,21.01.1340
tbmm02005096.txt,06.02.1340
tbmm02005097.txt,07.02.1340
tbmm02005098.txt,09.02.1340
tbmm02005099.txt,11.02.1340
tbmm02005100.txt,12.02.1340
tbmm02005101.txt,13.02.1340
tbmm02005102.txt,14.02.1340
tbmm02006103.txt,16.02.1340
tbmm02006104.txt,17.02.1340
tbmm02006105.txt,13.02.1340
tbmm02006106.txt,19.02.1340
tbmm02006107.txt,20.02.1340
tbmm02006108.txt,21.02.1340
tbmm02006109.txt,23.02.1340
tbmm02006110.txt,24.02.1340
tbmm02006111.txt,25.02.1340
tbmm02006112.txt,26.02.1340
tbmm02006113.txt,27.02.1340
tbmm02006114.txt,28.02.1340
tbmm02007001.txt,01.03.1340
tbmm02007002.txt,03.03.1340
tbmm02007003.txt,04.03.1340
tbmm02007004.txt,05.03.1340
tbmm02007005.txt,06.03.1340
tbmm02007006.txt,08.03.1340
tbmm02007007.txt,09.03.1340
tbmm02007008.txt,10.03.1340
tbmm02007009.txt,11.03.1340
tbmm02007010.txt,12.03.1340
tbmm02007011.txt,13.03.1340
tbmm02007012.txt,15.03.1340
tbmm02007013.txt,16.03.1340
tbmm02007014.txt,17.03.1340
tbmm02007015.txt,18.03.1340
tbmm02007016.txt,19.03.1340
tbmm02007017.txt,20.03.1340
tbmm02007018.txt,22.03.1340
tbmm02007019.txt,23.03.1340
tbmm02007020.txt,24.03.1340
tbmm02008021.txt,25.03.1340
tbmm02008022.txt,26.03.1340
tbmm02008023.txt,29.03.1340
tbmm02008024.txt,30.03.1340
tbmm02008025.txt,31.03.1340
tbmm02008026.txt,01.04.1340
tbmm02008027.txt,02.04.1340
tbmm02008028.txt,03.04.1340
tbmm02008029.txt,05.04.1340
tbmm02008030.txt,06.04.1340
tbmm02008031.txt,07.04.1340
tbmm02008032.txt,08.04.1340
tbmm02008033.txt,09.04.1340
tbmm02008034.txt,10.04.1340
tbmm02008035.txt,12.04.1340
tbmm02008036.txt,13.04.1340
tbmm02008037.txt,14.04.1340
tbmm02008038.txt,15.04.1340
tbmm02008039.txt,16.04.1340
tbmm02008040.txt,17.04.1340
tbmm02008041.txt,19.04.1340
tbmm02008042.txt,20.04.1340
tbmm02008043.txt,21.04.1340
tbmm02008044.txt,22.04.1340
tbmm02009045.txt,18.10.1340
tbmm02009046.txt,20.10.1340
tbmm02009047.txt,23.10.1340
tbmm02009048.txt,27.10.1340
tbmm02009049.txt,30.10.7340
tbmm02010001.txt,01.11.1340
tbmm02010002.txt,05.11.1340
tbmm02010003.txt,06.11.1340
tbmm02010004.txt,08.11.1340
tbmm02010005.txt,11.11.1340
tbmm02010006.txt,13.11.1340
tbmm02010007.txt,15.11.1340
tbmm02010008.txt,17.11.1340
tbmm02010009.txt,19.11.1340
tbmm02010010.txt,20.11.1340
tbmm02010011.txt,22.11.1340
tbmm02010012.txt,26.11.1340
tbmm02010013.txt,27.11.1340
tbmm02010014.txt,01.12.1340
tbmm02010015.txt,03.12.1340
tbmm02010016.txt,04.12.1340
tbmm02011017.txt,06.12.1340
tbmm02011018.txt,08.12.1340
tbmm02011019.txt,10.12.1340
tbmm02011020.txt,11.12.1340
tbmm02011021.txt,13.12.1340
tbmm02011022.txt,15.12.1340
tbmm02011023.txt,18.12.1340
tbmm02011024.txt,20.12.1340
tbmm02011025.txt,22.12.1340
